,Player,Points,Games
705,Clarence Kea,99.0,35.0
706,Clarence Weatherspoon,675.2941176470588,82.0
707,Clark Kellogg,983.6,81.0
708,Claude English,27.0,18.0
709,Claude Gregory,68.0,23.0
710,Claude Overton,58.0,15.0
711,Claude Terry,128.75,45.0
712,Clay Johnson,74.66666666666667,48.0
713,Cleanthony Early,120.5,39.0
714,Clem Haskins,971.4444444444445,82.0
715,Clemon Johnson,400.9166666666667,83.0
716,Cleo Hill,320.0,58.0
717,Cleveland Buckner,205.5,62.0
718,Cliff Alexander,10.0,8.0
719,Cliff Anderson,66.6,35.0
720,Cliff Barker,185.66666666666666,56.0
721,Cliff Hagan*,1344.7,79.0
722,Cliff Levingston,535.2727272727273,82.0
723,Cliff Meely,399.2857142857143,82.0
724,Cliff Pondexter,259.3333333333333,78.0
725,Cliff Robinson,929.3076923076923,78.0
726,Cliff Williams,4.0,3.0
727,Clifford Lett,19.0,7.0
728,Clifford Ray,582.1,82.0
729,Clifford Robinson,1006.2,82.0
730,Clifford Rozier,169.33333333333334,66.0
731,Clint Capela,464.0,77.0
732,Clint McDaniel,30.0,12.0
733,Clint Richardson,510.5,82.0
734,Clint Wager,143.0,63.0
735,Clinton Smith,67.0,41.0
736,Clinton Wheeler,89.75,59.0
737,Clyde Drexler*,1402.8235294117646,82.0
738,Clyde Lee,517.0,82.0
739,Clyde Lovellette*,1086.090909090909,72.0
740,Clyde Mayes,62.0,65.0
741,Coby Dietrick,416.42857142857144,82.0
742,Coby Karl,21.5,17.0
743,Cody Zeller,559.75,82.0
744,Cole Aldrich,126.44444444444444,62.0
745,Conner Henry,87.14285714285714,54.0
746,Connie Dierking,567.2142857142857,82.0
747,Connie Hawkins*,1025.7777777777778,81.0
748,Connie Norman,198.33333333333334,65.0
749,Connie Rea,23.0,20.0
750,Connie Simmons,582.0,72.0
751,Corey Beck,57.2,59.0
752,Corey Benjamin,208.75,65.0
753,Corey Brewer,525.0625,82.0
754,Corey Crowder,60.0,51.0
755,Corey Gaines,49.6,32.0
756,Corey Maggette,942.7142857142857,77.0
757,Corey Williams,46.0,35.0
758,Corie Blount,173.23529411764707,72.0
759,Corky Calhoun,321.8,82.0
760,Corky Devlin,498.6666666666667,71.0
761,Corliss Williamson,668.0625,82.0
762,Cornelius Cash,21.0,6.0
763,Cornell Warner,336.3636363636364,81.0
764,Corny Thompson,122.0,44.0
765,Corsley Edwards,27.0,10.0
766,Cory Alexander,240.55555555555554,80.0
767,Cory Blackwell,202.0,60.0
768,Cory Carr,171.0,42.0
769,Cory Higgins,82.0,38.0
770,Cory Jefferson,102.5,50.0
771,Cory Joseph,413.1666666666667,80.0
772,Cotton Nash,91.33333333333333,45.0
773,Coty Clarke,6.0,3.0
774,Courtney Alexander,461.6,66.0
775,Courtney Fortson,23.333333333333332,10.0
776,Courtney Lee,625.4615384615385,81.0
777,Courtney Sims,3.0,3.0
778,Cozell McQueen,6.0,3.0
779,Craig Brackins,15.0,14.0
780,Craig Dykema,43.0,32.0
781,Craig Ehlo,535.1428571428571,82.0
782,Craig Hodges,507.0,82.0
783,Craig Neal,68.0,53.0
784,Craig Raymond,55.0,27.0
785,Craig Shelton,120.0,55.0
786,Craig Smith,513.3333333333334,82.0
787,Craig Spitzer,18.0,10.0
788,Cristiano Felicio,210.5,66.0
789,Cuonzo Martin,4.5,4.0
790,Curly Armstrong,330.0,63.0
791,Curtis Borchardt,129.0,67.0
792,Curtis Kitchen,9.0,6.0
793,Curtis Perry,501.6,81.0
794,Curtis Rowe,859.125,82.0
795,Cuttino Mobley,1007.5384615384615,81.0
796,D'Angelo Russell,1019.0,80.0
797,D.C. Wilcutt,77.0,37.0
798,D.J. Augustin,559.2,82.0
799,D.J. Kennedy,12.0,2.0
800,D.J. Stephens,7.0,3.0
801,D.J. Strawberry,73.0,33.0
802,D.J. White,134.75,58.0
803,DaJuan Summers,69.5,44.0
804,Daequan Cook,281.375,75.0
805,Dahntay Jones,241.0,79.0
806,Dajuan Wagner,241.0,47.0
807,Dale Davis,499.44444444444446,82.0
808,Dale Ellis,954.2380952380952,82.0
809,Dale Hamilton,25.0,14.0
810,Dale Schlueter,313.0,81.0
811,Dale Wilkinson,9.333333333333334,12.0
812,Dalibor Bagaric,83.66666666666667,50.0
813,Dallas Comegys,428.0,75.0
814,Damian Jones,19.0,10.0
815,Damian Lillard,1776.0,82.0
816,Damien Inglis,36.0,20.0
817,Damien Wilkins,396.77777777777777,82.0
818,Damion James,37.5,25.0
819,Damir Markota,51.0,30.0
820,Damjan Rudez,160.0,68.0
821,Damon Jones,312.26666666666665,82.0
822,Damon Stoudamire,782.6470588235294,82.0
823,Damone Brown,27.0,17.0
824,Dan Anderson,173.5,52.0
825,Dan Dickau,272.7,71.0
826,Dan Gadzuric,215.25,81.0
827,Dan Godfread,6.5,10.0
828,Dan Issel*,1628.7777777777778,82.0
829,Dan King,19.0,12.0
830,Dan Langhi,67.66666666666667,60.0
831,Dan Majerle,780.3571428571429,82.0
832,Dan McClintock,18.0,6.0
833,Dan O'Sullivan,14.833333333333334,21.0
834,Dan Roundfield,1028.909090909091,81.0
835,Dan Swartz,175.0,39.0
836,Dan Tieman,34.0,29.0
837,Dana Barros,635.7857142857143,82.0
838,Dane Suttle,136.0,40.0
839,Daniel Ewing,215.5,66.0
840,Daniel Gibson,445.0,75.0
841,Daniel Ochefu,24.0,19.0
842,Daniel Orton,47.666666666666664,22.0
843,Daniel Santiago,104.25,54.0
844,Danilo Gallinari,802.3,81.0
845,Danny Ainge,827.8125,81.0
846,Danny Doyle,16.0,4.0
847,Danny Ferry,495.3076923076923,82.0
848,Danny Finn,347.3333333333333,68.0
849,Danny Fortson,361.5,80.0
850,Danny Granger,849.4166666666666,82.0
851,Danny Green,519.375,81.0
852,Danny Manning,810.0,82.0
853,Danny Schayes,444.40909090909093,82.0
854,Danny Vranes,373.2857142857143,82.0
855,Danny Wagner,69.0,11.0
856,Danny Young,241.83333333333334,82.0
857,Dante Cunningham,400.4,81.0
858,Dante Exum,402.5,82.0
859,Danuel House,0.0,1.0
860,Darington Hobson,4.0,5.0
861,Dario Saric,1040.0,81.0
862,Darius Johnson-Odom,0.0,4.0
863,Darius Miles,596.4444444444445,82.0
864,Darius Miller,106.66666666666667,52.0
865,Darius Morris,76.71428571428571,48.0
866,Darius Songaila,426.875,81.0
867,Darius Washington,53.0,18.0
868,Darko Milicic,235.28571428571428,80.0
869,Darnell Hillman,553.0,82.0
870,Darnell Jackson,66.2,59.0
871,Darnell Mee,38.0,38.0
872,Darnell Valentine,532.3636363636364,82.0
873,Darrall Imhoff,420.5,82.0
874,Darrell Allums,59.0,22.0
875,Darrell Armstrong,498.5,82.0
876,Darrell Arthur,403.5,80.0
877,Darrell Elston,5.0,5.0
878,Darrell Griffith,1239.1,82.0
879,Darrell Lockhart,4.0,2.0
880,Darrell Walker,539.0833333333334,82.0
881,Darren Collison,893.625,81.0
882,Darren Daye,351.57142857142856,80.0
883,Darren Morningstar,64.0,23.0
884,Darren Tillis,148.25,72.0
885,Darrick Martin,262.6666666666667,82.0
886,Darrin Hancock,84.83333333333333,63.0
887,Darrun Hilliard,139.5,39.0
888,Darryl Dawkins,546.4375,81.0
889,Darryl Johnson,12.0,11.0
890,Darryl Watkins,17.5,9.0
891,Darvin Ham,122.2,75.0
892,Darwin Cook,632.7,82.0
893,Dave Batton,94.0,54.0
894,Dave Bing*,1527.25,82.0
895,Dave Britton,4.0,2.0
896,Dave Budd,501.0,79.0
897,Dave Corzine,585.7692307692307,82.0
898,Dave Cowens*,1228.7272727272727,82.0
899,Dave DeBusschere*,1092.4285714285713,81.0
900,Dave Deutsch,21.0,19.0
901,Dave Fedor,6.0,7.0
902,Dave Feitl,238.4,70.0
903,Dave Gambee,608.1428571428571,80.0
904,Dave Greenwood,635.2857142857143,82.0
905,Dave Gunther,2.0,1.0
906,Dave Henderson,126.0,22.0
907,Dave Hoppen,112.3,77.0
908,Dave Jamerson,61.6,48.0
909,Dave Johnson,102.0,42.0
910,Dave Lattin,253.0,68.0
911,Dave Magley,12.0,14.0
912,Dave Meyers,787.25,80.0
913,Dave Minor,320.75,59.0
914,Dave Newmark,384.5,81.0
915,Dave Piontek,407.55555555555554,77.0
916,Dave Popson,22.0,19.0
917,Dave Robisch,388.8,84.0
918,Dave Schellhase,104.0,42.0
919,Dave Scholz,2.0,1.0
920,Dave Sorenson,409.2,79.0
921,Dave Stallworth,568.4,82.0
922,Dave Twardzik,666.5,75.0
923,Dave Wohl,290.3076923076923,79.0
924,Dave Zeller,90.0,61.0
925,David Andersen,158.75,63.0
926,David Benoit,430.55555555555554,82.0
927,David Burns,15.333333333333334,9.0
928,David Cooke,9.0,6.0
929,David Harrison,237.25,67.0
930,David Lee,832.7857142857143,81.0
931,David Noel,184.0,68.0
932,David Nwaba,120.0,20.0
933,David Pope,31.0,22.0
934,David Rivers,127.66666666666667,52.0
935,David Robinson*,1485.0,82.0
936,David Stockton,8.0,3.0
937,David Thirdkill,70.125,49.0
938,David Thompson*,1408.0,82.0
939,David Vanterpool,122.0,22.0
940,David Vaughn,71.85714285714286,40.0
941,David Wear,0.0,2.0
942,David Wesley,799.375,82.0
943,David West,967.0714285714286,81.0
944,David Wingate,277.73333333333335,81.0
945,David Wood,181.0,82.0
946,Davis Bertans,303.0,67.0
947,DeAndre Jordan,683.4444444444445,82.0
948,DeAndre Liggins,66.16666666666667,62.0
949,DeAndre' Bembry,101.0,38.0
950,DeJuan Blair,409.2857142857143,82.0
951,DeJuan Wheat,132.5,46.0
952,DeMar DeRozan,1432.0,82.0
953,DeMarco Johnson,6.0,5.0
954,DeMarcus Cousins,1361.111111111111,81.0
955,DeMarcus Nelson,53.0,13.0
956,DeMarre Carroll,287.75,73.0
957,DeQuan Jones,233.0,63.0
958,DeSagana Diop,98.8125,81.0
959,DeShawn Stevenson,410.29411764705884,82.0
960,DeWayne Scales,74.66666666666667,44.0
961,Dean Garrett,221.625,82.0
962,Dean Meminger,425.3333333333333,80.0
963,Dean Oliver,32.0,20.0
964,Dean Tolson,134.0,60.0
965,Dedric Willoughby,190.0,25.0
966,Dee Brown,422.3333333333333,82.0
967,Dee Gibson,281.0,44.0
968,Dejounte Murray,130.0,38.0
969,Del Beshore,122.0,68.0
970,Delaney Rudd,204.0,82.0
971,Dell Curry,791.875,82.0
972,Dell Demps,19.666666666666668,16.0
973,Delon Wright,126.5,27.0
974,Delonte West,470.5,71.0
975,Demetris Nichols,7.333333333333333,14.0
976,Demetrius Calip,11.0,7.0
977,Demetrius Jackson,10.0,5.0
978,Deng Gai,0.0,2.0
979,Dennis Awtrey,251.4375,82.0
980,Dennis Bell,58.333333333333336,52.0
981,Dennis Boyd,6.0,5.0
982,Dennis DuVal,48.0,37.0
983,Dennis Hamilton,98.5,44.0
984,Dennis Hopson,625.1428571428571,79.0
985,Dennis Horner,5.0,8.0
986,Dennis Johnson*,1109.642857142857,81.0
987,Dennis Nutt,57.0,25.0
988,Dennis Rodman*,477.35714285714283,82.0
989,Dennis Schroder,811.0,80.0
990,Dennis Scott,658.2857142857143,82.0
991,Dennis Stewart,4.0,2.0
992,Denzel Valentine,291.0,57.0
993,DerMarr Johnson,303.0,78.0
994,Derek Anderson,592.7692307692307,82.0
995,Derek Fisher,510.8181818181818,82.0
996,Derek Grimm,14.0,9.0
997,Derek Harper,933.1666666666666,82.0
998,Derek Hood,0.0,2.0
999,Derek Smith,527.2727272727273,80.0
1000,Derek Strong,308.8,82.0
1001,Dermie O'Connell,179.33333333333334,61.0
1002,Deron Williams,988.375,82.0
1003,Derrek Dickey,309.42857142857144,80.0
1004,Derrick Alston,250.33333333333334,73.0
1005,Derrick Brown,216.0,65.0
1006,Derrick Byars,10.0,2.0
1007,Derrick Caracter,81.0,41.0
1008,Derrick Chievous,275.8,81.0
1009,Derrick Coleman,858.9333333333333,77.0
1010,Derrick Dial,59.0,33.0
1011,Derrick Favors,668.0,78.0
1012,Derrick Gervin,338.0,56.0
1013,Derrick Jones,168.0,32.0
1014,Derrick McKey,684.4,82.0
1015,Derrick Phelps,0.0,3.0
1016,Derrick Rose,1144.375,81.0
1017,Derrick Rowland,3.0,2.0
1018,Derrick Williams,473.5,80.0
1019,Derrick Zimmerman,4.0,2.0
1020,Desmon Farmer,13.0,8.0
1021,Desmond Ferguson,13.0,7.0
1022,Desmond Mason,742.8333333333334,82.0
1023,Desmond Penigar,32.0,10.0
1024,Detlef Schrempf,921.6111111111111,82.0
1025,Devean George,321.45454545454544,82.0
1026,Devin Booker,1387.0,78.0
1027,Devin Brown,315.0833333333333,81.0
1028,Devin Durrant,158.5,59.0
1029,Devin Ebanks,74.66666666666667,24.0
1030,Devin Gray,21.25,21.0
1031,Devin Green,25.0,27.0
1032,Devin Harris,682.2941176470588,80.0
1033,Devyn Marble,48.5,28.0
1034,Dewayne Dedmon,150.28571428571428,76.0
1035,Dexter Boney,19.0,8.0
1036,Dexter Cambridge,370.0,53.0
1037,Dexter Pittman,20.666666666666668,35.0
1038,Dexter Shouse,0.0,3.0
1039,Deyonta Davis,58.0,36.0
1040,Diamond Stone,10.0,7.0
1041,Diante Garrett,144.0,71.0
1042,Dick Atha,68.5,25.0
1043,Dick Barnett,1097.0,82.0
1044,Dick Bunt,61.333333333333336,26.0
1045,Dick Cunningham,144.57142857142858,77.0
1046,Dick Dickey,127.0,45.0
1047,Dick Duckett,132.0,34.0
1048,Dick Farley,459.3333333333333,72.0
1049,Dick Garmaker,805.75,72.0
1050,Dick Garrett,510.85714285714283,78.0
1051,Dick Gibbs,278.0,72.0
1052,Dick Groat,309.0,26.0
1053,Dick Hemric,431.5,71.0
1054,Dick Knostman,13.0,5.0
1055,Dick McGuire*,538.2727272727273,72.0
1056,Dick Mehen,423.8333333333333,66.0
1057,Dick Miller,5.333333333333333,8.0
1058,Dick O'Keefe,270.5,68.0
1059,Dick Ricketts,516.4,72.0
1060,Dick Rosenthal,287.5,67.0
1061,Dick Schnittker,505.0,72.0
1062,Dick Schulz,104.5,50.0
1063,Dick Snyder,855.7333333333333,82.0
1064,Dick Surhoff,89.0,32.0
1065,Dick Triptow,2.0,4.0
1066,Dick Van,1256.5833333333333,82.0
1067,Dickey Simpkins,168.88888888888889,69.0
1068,Didier Ilunga-Mbenga,55.22222222222222,49.0
1069,Dijon Thompson,22.5,10.0
1070,Dike Eddleman,661.1666666666666,69.0
1071,Dikembe Mutombo*,623.9,82.0
1072,Dillard Crocker,327.8,61.0
1073,Dino Radja,933.25,80.0
1074,Dion Glover,378.375,76.0
1075,Dion Waiters,768.2857142857143,80.0
1076,Dionte Christmas,71.0,31.0
1077,Dirk Minniefield,279.57142857142856,76.0
1078,Dirk Nowitzki,1592.6315789473683,82.0
1079,Doc Rivers,646.5333333333333,82.0
1080,Dolph Schayes*,1229.2,79.0
1081,Domantas Sabonis,479.0,81.0
1082,Dominic McGuire,93.45454545454545,79.0
1083,Dominic Pressley,15.333333333333334,13.0
1084,Dominique Jones,82.0,33.0
1085,Dominique Wilkins*,1681.8235294117646,82.0
1086,Don Ackerman,43.0,28.0
1087,Don Adams,522.0,82.0
1088,Don Anielak,3.0,1.0
1089,Don Asmonga,5.0,7.0
1090,Don Barksdale*,723.75,72.0
1091,Don Bielke,14.0,7.0
1092,Don Boven,369.0,67.0
1093,Don Buse,498.3333333333333,82.0
1094,Don Carlson,154.5,57.0
1095,Don Chaney,497.0769230769231,82.0
1096,Don Collins,489.25,81.0
1097,Don Ford,369.3333333333333,82.0
1098,Don Grate,4.0,2.0
1099,Don Hanrahan,33.0,18.0
1100,Don Henriksen,351.0,70.0
1101,Don Kojis,829.0,81.0
1102,Don Lofgran,316.25,64.0
1103,Don MacLean,387.77777777777777,75.0
1104,Don May,421.3333333333333,76.0
1105,Don Nelson*,778.4285714285714,82.0
1106,Don Ohl,1044.3333333333333,80.0
1107,Don Otten,405.09090909090907,67.0
1108,Don Putman,135.0,57.0
1109,Don Ray,364.0,61.0
1110,Don Rehfeldt,238.25,59.0
1111,Don Reid,159.8,69.0
1112,Don Savage,27.0,12.0
1113,Don Smith,283.0,54.0
1114,Don Sunderlage,437.0,68.0
1115,Donald Hodge,171.42857142857142,79.0
1116,Donald Royal,266.0,77.0
1117,Donald Sloan,145.3,61.0
1118,Donald Whiteside,30.5,27.0
1119,Donatas Motiejunas,365.2,71.0
1120,Donell Taylor,133.0,51.0
1121,Donnell Harvey,184.33333333333334,77.0
1122,Donnie Boyce,39.5,22.0
1123,Donnie Butcher,322.7142857142857,78.0
1124,Donnie Freeman,689.0,64.0
1125,Donny Marshall,58.6,56.0
1126,Donta Smith,82.5,38.0
1127,Dontae' Jones,44.0,15.0
1128,Donte Greene,385.25,76.0
1129,Dontell Jefferson,29.0,6.0
1130,Dontonio Wingfield,105.75,47.0
1131,Donyell Marshall,615.4761904761905,82.0
1132,Dorell Wright,417.90909090909093,82.0
1133,Dorian Finney-Smith,350.0,81.0
1134,Dorie Murrey,239.25,81.0
1135,Doron Lamb,124.75,53.0
1136,Doug Bolstorff,4.0,3.0
1137,Doug Christie,529.5263157894736,82.0
1138,Doug Collins,928.375,81.0
1139,Doug Edwards,67.66666666666667,38.0
1140,Doug Kistler,8.0,5.0
1141,Doug Lee,56.0,46.0
1142,Doug McDermott,411.4,81.0
1143,Doug Overton,141.78947368421052,82.0
1144,Doug Roth,81.0,42.0
1145,Doug Sims,4.0,4.0
1146,Doug Smith,471.2,79.0
1147,Doug West,539.75,80.0
1148,Dragan Bender,146.0,43.0
1149,Dragan Tarlac,103.0,43.0
1150,Draymond Green,713.2,82.0
1151,Drazen Petrovic*,847.3333333333334,82.0
1152,Drew Barry,35.0,27.0
1153,Drew Gooden,509.6521739130435,82.0
1154,Drew Gordon,17.0,9.0
1155,Duane Causwell,240.72727272727272,80.0
1156,Duane Cooper,102.0,65.0
1157,Duane Ferrell,336.72727272727275,82.0
1158,Duane Klueh,349.75,61.0
1159,Duane Washington,27.0,15.0
1160,Duck Williams,506.0,77.0
1161,Dudley Bradley,323.09090909090907,82.0
1162,Duje Dukan,6.0,1.0
1163,Dwayne Jones,21.4,56.0
1164,Dwayne McClain,157.0,45.0
1165,Dwayne Morton,167.0,41.0
1166,Dwayne Polee,2.0,1.0
1167,Dwayne Schintzius,73.375,43.0
1168,Dwayne Whitfield,40.0,8.0
1169,Dwight Anderson,21.0,5.0
1170,Dwight Buycks,47.5,14.0
1171,Dwight Davis,587.2,81.0
1172,Dwight Howard,1280.923076923077,82.0
1173,Dwight Jones,518.9285714285714,82.0
1174,Dwight Powell,219.0,77.0
1175,Dwight Waller,7.0,11.0
1176,Dwyane Wade,1522.642857142857,79.0
1177,Dyron Nix,39.0,20.0
1178,E'Twaun Moore,414.8333333333333,79.0
1179,E.C. Coleman,425.5,77.0
1180,Earl Barron,58.30769230769231,46.0
1181,Earl Boykins,366.05263157894734,82.0
1182,Earl Clark,155.8,59.0
1183,Earl Cureton,299.14285714285717,82.0
1184,Earl Dodd,15.0,9.0
1185,Earl Evans,157.0,36.0
1186,Earl Jones,6.5,12.0
1187,Earl Lloyd*,520.2222222222222,72.0
1188,Earl Monroe*,1213.5333333333333,82.0
1189,Earl Tatum,536.625,82.0
1190,Earl Watson,414.4,81.0
1191,Earl Williams,166.0,79.0
1192,Earnie Killum,1.0,4.0
1193,Easy Parham,184.0,66.0
1194,Ed Bartels,49.5,17.0
1195,Ed Beach,14.666666666666666,12.0
1196,Ed Biedenbach,4.0,7.0
1197,Ed Burton,16.5,8.0
1198,Ed Conlin,638.4444444444445,77.0
1199,Ed Dahler,35.0,14.0
1200,Ed Davis,433.44444444444446,81.0
1201,Ed Earle,4.0,2.0
1202,Ed Fleming,502.2,72.0
1203,Ed Gayda,56.0,15.0
1204,Ed Gray,186.5,30.0
1205,Ed Horton,202.0,45.0
1206,Ed Kalafat,491.3333333333333,72.0
1207,Ed Leede,474.5,64.0
1208,Ed Macauley*,1123.4,72.0
1209,Ed Manning,283.0,79.0
1210,Ed Mikan,230.44444444444446,66.0
1211,Ed Nealy,110.71428571428571,82.0
1212,Ed O'Bannon,217.25,64.0
1213,Ed Peterson,290.75,62.0
1214,Ed Pinckney,423.375,81.0
1215,Ed Rains,143.5,49.0
1216,Ed Ratleff,562.6,81.0
1217,Ed Sadowski,581.3333333333334,69.0
1218,Ed Searcy,6.0,4.0
1219,Ed Sherod,395.0,64.0
1220,Ed Smith,35.0,12.0
1221,Ed Stanczak,290.5,57.0
1222,Ed Stokes,3.0,4.0
1223,Eddie Basden,39.0,19.0
1224,Eddie Gill,67.66666666666667,73.0
1225,Eddie Griffin,434.2,77.0
1226,Eddie House,389.125,81.0
1227,Eddie Hughes,98.66666666666667,60.0
1228,Eddie Johnson,965.2121212121212,82.0
1229,Eddie Jones,857.1111111111111,81.0
1230,Eddie Jordan,339.2307692307692,82.0
1231,Eddie Lee,255.66666666666666,79.0
1232,Eddie Mast,94.33333333333333,42.0
1233,Eddie Miles,793.5454545454545,81.0
1234,Eddie Miller,546.25,72.0
1235,Eddie Owens,21.0,8.0
1236,Eddie Phillips,152.0,48.0
1237,Eddie Robinson,387.6,67.0
1238,Eddy Curry,620.0,81.0
1239,Edgar Jones,427.6,81.0
1240,Edmund Lawrence,12.0,3.0
1241,Eduardo Najera,222.6875,78.0
1242,Edwin Ubiles,14.0,4.0
1243,Edy Tavares,5.333333333333333,2.0
1244,Efthimi Rentzias,52.0,35.0
1245,Ekpe Udoh,201.71428571428572,76.0
1246,Elden Campbell,565.9047619047619,82.0
1247,Eldridge Recasner,173.7,71.0
1248,Elfrid Payton,851.6666666666666,82.0
1249,Elgin Baylor*,1653.5,80.0
1250,Elias Harris,0.0,2.0
1251,Elijah Millsap,95.66666666666667,47.0
1252,Elliot Perry,238.75,82.0
1253,Elliot Williams,95.66666666666667,67.0
1254,Elmer Behnke,16.0,4.0
1255,Elmer Bennett,14.0,9.0
1256,Elmer Gainer,24.0,15.0
1257,Elmore Smith,814.0,81.0
1258,Elmore Spencer,133.85714285714286,76.0
1259,Elston Turner,299.625,81.0
1260,Elton Brand,989.8235294117648,81.0
1261,Elvin Hayes*,1707.0625,82.0
1262,Em Bryant,465.25,80.0
1263,Emanual Davis,183.33333333333334,62.0
1264,Emeka Okafor,806.2222222222222,82.0
1265,Emmanuel Mudiay,737.5,68.0
1266,Enes Kanter,774.25,82.0
1267,Ennis Whatley,168.07692307692307,82.0
1268,Eric Anderson,21.0,16.0
1269,Eric Bledsoe,782.8571428571429,81.0
1270,Eric Dawson,15.0,4.0
1271,Eric Fernsten,76.125,56.0
1272,Eric Gordon,905.6666666666666,78.0
1273,Eric Johnson,54.0,48.0
1274,Eric Leckner,182.75,77.0
1275,Eric Maynor,172.36363636363637,82.0
1276,Eric McWilliams,86.0,44.0
1277,Eric Mobley,125.6,46.0
1278,Eric Money,689.8,80.0
1279,Eric Montross,190.57142857142858,78.0
1280,Eric Moreland,5.0,8.0
1281,Eric Murdock,524.0909090909091,82.0
1282,Eric Piatkowski,422.7857142857143,81.0
1283,Eric Riley,114.8,47.0
1284,Eric Snow,400.0,82.0
1285,Eric Washington,358.0,66.0
1286,Eric White,123.5,38.0
1287,Eric Williams,379.55555555555554,82.0
1288,Erick Barkley,38.5,19.0
1289,Erick Dampier,456.8125,82.0
1290,Erick Green,43.0,43.0
1291,Erick Strickland,367.27272727272725,79.0
1292,Erik Daniels,13.0,21.0
1293,Erik Murphy,6.0,24.0
1294,Ernest Brown,3.0,3.0
1295,Ernie Barrett,320.5,72.0
1296,Ernie Beck,261.22222222222223,72.0
1297,Ernie DiGregorio,457.2857142857143,81.0
1298,Ernie Grunfeld,569.3333333333334,82.0
1299,Ernie Vandeweghe,355.8333333333333,61.0
1300,Ersan Ilyasova,608.5714285714286,82.0
1301,Ervin Johnson,267.15384615384613,82.0
1302,Erwin Mueller,382.0769230769231,80.0
1303,Essie Hollis,69.0,25.0
1304,Esteban Batista,60.5,57.0
1305,Etan Thomas,260.1111111111111,79.0
1306,Etdrick Bohannon,11.0,13.0
1307,Eugene Jeter,255.0,62.0
1308,Evan Eschmeyer,105.25,74.0
1309,Evan Fournier,783.6,79.0
1310,Evan Turner,750.0,82.0
1311,Everette Stephens,35.5,35.0
1312,Evers Burns,56.0,23.0
1313,Evric Gray,13.0,5.0
1314,Fab Melo,7.0,6.0
1315,Fabricio Oberto,180.16666666666666,82.0
1316,Fat Lever,948.4545454545455,82.0
1317,Fatty Taylor,301.0,79.0
1318,Felipe Lopez,333.0,70.0
1319,Felton Spencer,266.14285714285717,81.0
1320,Fennis Dembo,36.0,31.0
1321,Fernando Martin,22.0,24.0
1322,Festus Ezeli,237.33333333333334,78.0
1323,Floyd Volker,264.6666666666667,54.0
1324,Flynn Robinson,791.0,83.0
1325,Foots Walker,419.9,81.0
1326,Forest Able,0.0,1.0
1327,Forrest McKenzie,17.0,6.0
1328,Fran Curran,395.0,66.0
1329,Francisco Elson,149.84615384615384,72.0
1330,Francisco Garcia,387.0,79.0
1331,Frank Brickowski,525.8125,78.0
1332,Frank Gates,287.0,64.0
1333,Frank Johnson,493.7,82.0
1334,Frank Kaminsky,740.0,81.0
1335,Frank Kendrick,80.0,24.0
1336,Frank Kornet,85.5,57.0
1337,Frank Kudelka,300.6666666666667,65.0
1338,Frank Oleynick,254.0,52.0
1339,Frank Radovich,87.0,37.0
1340,Frank Ramsey*,930.8888888888889,79.0
1341,Frank Reddout,13.0,7.0
1342,Frank Russell,74.0,23.0
1343,Frank Schade,10.0,9.0
1344,Frank Selvy,524.4615384615385,80.0
1345,Frank Williams,84.33333333333333,56.0
1346,Frankie Brian,768.4285714285714,71.0
1347,Frankie King,13.5,7.0
1348,Frankie Sanders,154.0,46.0
1349,Franklin Edwards,257.42857142857144,81.0
1350,Fred Brown,1078.3076923076924,82.0
1351,Fred Carter,902.5833333333334,82.0
1352,Fred Christ,20.0,6.0
1353,Fred Cofield,84.5,45.0
1354,Fred Diute,11.0,7.0
1355,Fred Foster,446.2,74.0
1356,Fred Hetzel,733.625,84.0
1357,Fred Hilton,565.5,61.0
1358,Fred Hoiberg,294.4,79.0
1359,Fred Jones,402.0,81.0
1360,Fred LaCour,313.3333333333333,73.0
1361,Fred Roberts,435.26666666666665,82.0
1362,Fred Saunders,221.83333333333334,69.0
1363,Fred Schaus,649.2857142857143,69.0
1364,Fred Scolari,623.625,66.0
1365,Fred Taylor,118.0,54.0
1366,Fred VanVleet,107.0,37.0
1367,Fred Vinson,8.5,8.0
1368,Freddie Boyd,370.125,82.0
1369,Freddie Crawford,317.55555555555554,81.0
1370,Freddie Lewis,121.4,34.0
1371,Freeman Williams,682.25,82.0
1372,Furkan Aldemir,93.0,41.0
1373,Gabe Pruitt,62.5,47.0
1374,Gail Goodrich*,1370.0714285714287,82.0
1375,Gal Mekel,39.5,31.0
1376,Gani Lawal,0.0,1.0
1377,Gar Heard,572.4,86.0
1378,Garfield Smith,84.0,37.0
1379,Garret Siler,45.0,21.0
1380,Garrett Temple,159.84615384615384,80.0
1381,Garry Witts,132.0,46.0
1382,Garth Joseph,1.3333333333333333,4.0
1383,Gary Alcorn,130.5,58.0
1384,Gary Alexander,12.666666666666666,11.0
1385,Gary Bergen,8.0,6.0
1386,Gary Bradds,72.0,41.0
1387,Gary Brokaw,429.1666666666667,80.0
1388,Gary Forbes,322.5,63.0
1389,Gary Freeman,111.33333333333333,52.0
1390,Gary Garland,334.0,78.0
1391,Gary Grant,336.0,78.0
1392,Gary Gray,105.0,44.0
1393,Gary Gregor,581.0,82.0
1394,Gary Harris,657.0,76.0
1395,Gary Hill,99.25,67.0
1396,Gary Leonard,14.666666666666666,22.0
1397,Gary Melchionni,537.0,69.0
