,Player,Points,Games
163,Anthony Cook,80.0,58.0
164,Anthony Davis,1499.4,75.0
165,Anthony Frederick,239.33333333333334,66.0
166,Anthony Goldwire,141.75,82.0
167,Anthony Grundy,52.0,12.0
168,Anthony Johnson,259.9047619047619,80.0
169,Anthony Jones,141.85714285714286,66.0
170,Anthony Mason,742.7692307692307,82.0
171,Anthony Miller,46.54545454545455,46.0
172,Anthony Morrow,443.2307692307692,76.0
173,Anthony Parker,497.55555555555554,82.0
174,Anthony Peeler,565.7333333333333,82.0
175,Anthony Pullard,17.0,8.0
176,Anthony Randolph,261.75,63.0
177,Anthony Roberson,76.8,29.0
178,Anthony Roberts,331.6,82.0
179,Anthony Taylor,144.0,21.0
180,Anthony Tolliver,325.0769230769231,76.0
181,Anthony Tucker,243.0,62.0
182,Antoine Carr,562.5,82.0
183,Antoine Rigaudeau,17.0,11.0
184,Antoine Walker,1222.857142857143,82.0
185,Antoine Wright,245.5,67.0
186,Antonio Anderson,2.0,1.0
187,Antonio Burks,93.0,57.0
188,Antonio Daniels,461.53333333333336,82.0
189,Antonio Davis,586.1764705882352,82.0
190,Antonio Harvey,75.7,59.0
191,Antonio Lang,41.875,64.0
192,Antonio McDyess,736.2941176470588,82.0
193,Antonis Fotsis,108.0,28.0
194,Archie Clark,1146.4166666666667,82.0
195,Archie Dees,387.0,73.0
196,Archie Goodwin,191.66666666666666,57.0
197,Ariel Maughan,365.5,68.0
198,Arinze Onuaku,7.4,8.0
199,Armen Gilliam,894.8823529411765,82.0
200,Armon Johnson,51.0,38.0
201,Armond Hill,311.1666666666667,82.0
202,Arnett Moultrie,105.0,47.0
203,Arnie Ferrin,346.0,68.0
204,Arnie Johnson,594.25,70.0
205,Arnie Risen*,737.5555555555555,72.0
206,Aron Baynes,308.8,81.0
207,Arron Afflalo,754.5,82.0
208,Art Burris,74.25,41.0
209,Art Collins,94.0,29.0
210,Art Harris,471.1666666666667,81.0
211,Art Heyman,313.8,75.0
212,Art Long,81.0,63.0
213,Art Spector,5.0,7.0
214,Art Spoelstra,410.1666666666667,72.0
215,Art Williams,410.85714285714283,81.0
216,Artis Gilmore*,1131.7142857142858,82.0
217,Arvid Kramer,16.0,8.0
218,Arvydas Macijauskas,44.0,19.0
219,Arvydas Sabonis*,804.1428571428571,78.0
220,Ashraf Amaya,189.5,54.0
221,Askia Jones,45.0,11.0
222,Audie Norris,273.0,79.0
223,Austin Carr,890.0833333333334,82.0
224,Austin Croshere,322.5,81.0
